trade_id,qty,price,side,type,fee_paid,pside,long_psize,long_pprice,shrt_psize,shrt_pprice,pnl,liq_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,available_margin,balance,timestamp,progress,drawdown,balance_starting_balance_ratio,equity_starting_balance_ratio,equity_balance_ratio,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
253,-1998.0,0.41261,sel,initial_shrt_entry,-0.1483910604,shrt,0.0,,-1998.0,0.41261,0.0,1.0071675950304182,1.4409083297717469,1199.8316289396,-0.1483910604,0.0,0.0,-0.1483910604,925.0333689396,1199.8516089396,1614557872525.0,1.4853444642973094e-05,1.6652336476319134e-05,0.999876340783,0.999859690783,0.9999833479408193,0.999859690783,0.0003661574074074074,0.0,0.0,0.0,0.0
3670,1998.0,0.41057,buy,shrt_close,-0.1476573948,shrt,0.0,,-0.0,0.41261,4.0759199999999725,0.0,1.0,1203.7798715448,3.7798715447999727,0.0,4.0759199999999725,-0.2960484552,1203.7798715448,1203.7798715448,1614558579513.0,0.00021546301122415514,0.0,1.003149892954,1.003149892954,1.0,1.003149892954,0.008548888888888889,0.0,0.0,0.0,0.0
3926,-2003.0,0.41289,sel,initial_shrt_entry,-0.1488633606,shrt,0.0,,-2003.0,0.41289,0.0,1.0078314643069193,1.4408017832140643,1203.5909481842,3.6310081841999726,0.0,4.0759199999999725,-0.4449118158,927.9180581841999,1203.6310081842,1614558651209.0,0.00023049258366921883,3.328373319895444e-05,1.0030258401535,1.0029924568201667,0.9999667173745711,1.0029924568201667,0.009378703703703703,0.0,0.0,0.0,0.0
9392,2003.0,0.41085,buy,shrt_close,-0.148127859,shrt,0.0,,-0.0,0.41289,4.086119999999973,0.0,1.0,1207.5690003252,7.569000325199945,0.0,8.162039999999944,-0.5930396748,1207.5690003252,1207.5690003252,1614560494547.0,0.0005513974390782739,0.0,1.006307500271,1.006307500271,1.0,1.006307500271,0.03071363425925926,0.0,0.0,0.0,0.0
10972,2028.0,0.40893,buy,initial_long_entry,-0.14927580720000003,long,2028.0,0.40893,-0.0,0.41289,0.0,0.0,1.0,1207.399444518,7.419724517999945,0.0,8.162039999999944,-0.742315482,930.9627645180001,1207.419724518,1614561061849.0,0.0006441580815126513,1.6796429791346206e-05,1.006183103765,1.006166203765,0.999983203852324,1.006166203765,0.03727962962962963,0.0,0.0,0.15758388888888888,0.15758388888888888
14861,-2028.0,0.41095,sel,long_close,-0.150013188,long,0.0,0.40893,-0.0,0.41289,4.096559999999932,0.0,1.0,1211.36627133,11.366271329999876,0.0,12.258599999999877,-0.8923286699999999,1211.36627133,1211.36627133,1614562294466.0,0.0008724784222894196,0.0,1.009471892775,1.009471892775,1.0,1.009471892775,0.05154603009259259,0.0,0.0,0.4999775,0.4999775
15688,2036.0,0.40855,buy,initial_long_entry,-0.149725404,long,2036.0,0.40855,-0.0,0.41289,0.0,0.0,1.0,1211.175825926,11.216545925999876,0.0,12.258599999999877,-1.042054074,933.9065592593333,1211.216545926,1614562566051.0,0.0009210309863990589,3.362022187722617e-05,1.009347121605,1.0093131882716666,0.9999663809084041,1.0093131882716666,0.054689375,0.0,0.0,0.5754177777777778,0.5754177777777778
16528,-2036.0,0.41057,sel,long_close,-0.1504656936,long,0.0,0.40855,-0.0,0.41289,4.112719999999931,0.0,1.0,1215.1788002324,15.178800232399807,0.0,16.37131999999981,-1.1925197676,1215.1788002324,1215.1788002324,1614563004869.0,0.0009703467709844241,0.0,1.0126490001936665,1.0126490001936665,1.0,1.0126490001936665,0.059768287037037036,0.0,0.0,0.6973116666666667,0.6973116666666667
20356,-2022.0,0.41276,sel,initial_shrt_entry,-0.1502281296,shrt,0.0,0.40855,-2022.0,0.41276,0.0,1.0076924802482827,1.441233781307919,1214.9881321028,15.028572102799806,0.0,16.37131999999981,-1.3427478972,936.7878921027999,1215.0285721028,1614564570684.0,0.001195085846452017,3.328427573197725e-05,1.0125238100856666,1.0124901100856667,0.9999667168320742,1.0124901100856667,0.07789114583333333,0.0,0.4349486111111111,0.0,0.4349486111111111
33100,2022.0,0.41072,buy,shrt_close,-0.1494856512,shrt,0.0,0.40855,-0.0,0.41276,4.1248800000000845,0.0,1.0,1219.0039664516,19.00396645159989,0.0,20.496199999999895,-1.4922335484,1219.0039664516,1219.0039664516,1614569840628.0,0.0019432767497328434,0.0,1.0158366387096667,1.0158366387096667,1.0,1.0158366387096667,0.13888586805555556,0.0,1.8988219444444445,0.0,1.8988219444444445
